"userid","tenureDay","userMessages","moodCategory"
"duwgwA8OOpCyoWnrYXxnBBeQgLY=",0,67,"positive"
"gRENTJqHEnGCfgtJuKrfs0Z2OCo=",0,119,"negative"
"XTvJpNt5CdXQFqS2SBuFIQNp6WI=",0,59,""
"Yg7GtkT8rgiiSnmCXZWjnU41vWA=",0,61,""
"nWILz8/mlQIPFGAUS/s7KZOC9U4=",0,57,""
"dcSTWPc7BDAxP4DYANXOQXlZpnI=",0,59,""
"3Phqlb2Z+IdY1MH2VZoKYr0Ipm4=",0,175,"neutral"
"drLZDX1iRuRFFQ4fEU5SyiLHxPE=",0,37,""
"j7BSs/IZSGLLvD3JJnDjh3jdhJE=",0,39,"neutral"
"zyfn2dxDxJFizwF+1qFKvtpOWn0=",0,63,""
"biTNfcoVuN+33oz4JUgzuGFY1ZQ=",0,170,"negative"
"L8thREf5fZlUDscNe+ILIF9gRw0=",0,56,""
"6C9XJbOlxFLqCQf06smWEXlkwN0=",0,215,"neutral"
"69jTZAjdFUqjbTdhFUJCcWuZtGI=",0,36,"positive"
"fA3PdqKdO/9RkrdhoVsWOlrCli8=",0,39,"neutral"
"K9M1bZ5wq5c2ZS8Eja9eJJQs4u4=",0,62,""
"Djnpa9O/3b6eJY+mC0bmn2xhkQg=",0,57,""
"v5rE2lidF/r0qIrRwv2CVe/+IMM=",0,70,"negative"
"JtwjGy56aBXgD/eesLhvkxrAGeI=",0,53,""
"kgHHVwWpBGKPbYm1aTGZ7RB0BOY=",0,90,"negative"
"VjWnoYQi+tp2XmTtgE9JZqdxqIQ=",0,133,"neutral"
"+Ao5JORiWjOQmUeEucZgBVtA51k=",0,32,"neutral"
"c0ryc0P7A4w9aHALOtlmrI4Qlbs=",0,34,"positive"
"RIDGiim41ZuAmfZAO76AfeGc1Nk=",0,60,""
"prE2KVNAVVyPM8d13s+96Pbhi+c=",0,66,"neutral"
"pAzxiVDBAfewT5xZauK9QUsf2J4=",0,58,""
"v4DuuHfaOL7EK23UuAB+kzpyTgY=",0,83,""
"27bnfNgr14tAC8dY2uqj3Uey/dY=",0,47,"neutral"
"6VuLr7nupM5gv5ZvE8uPx+TCiM4=",0,31,"positive"
"nvgyJ5h4j2InF88hIpbxVsJnxSc=",0,32,"neutral"
"bfu1u6dsq3SVhAVmp77enDmGPv0=",0,70,""
"/fNS44+F8EOpEuLI+6KlUc8QTaU=",0,37,"neutral"
"0vryEJEVajBWl8ZC7kl7CJYVBTg=",0,36,"neutral"
"RDEfhfW+etSadeYWOcb2s31D/gg=",0,56,""
"v+YemuRig+PO8JNZUir2y3p2WG0=",0,29,"positive"
"ScU32icgHLVanLxk7FSyqWS/XfU=",0,63,""
"V7QrUK4SPEhxBhbmMlxaNM1v2JM=",0,31,"positive"
"YNcJFPISfboI0t+nYuQB+64G+HQ=",0,56,""
"6w+1mL9wPwnHxd737FpFOfgAVVI=",0,65,"positive"
"6eLS/mm/GCL+W5BSAUdZu86brto=",0,100,"negative"
"16GGya/ZtXo38OY4/nOGzN8XMt4=",0,54,""
"Llc7OjpV+sFf4h1F/SGCIeL7hX4=",0,98,"neutral"
"eecQIeKKqVKJ6v1lXWEEIjVIsrE=",0,58,""
"dR1aeAHOE3m2Ge2EVXhMVJWNzM4=",0,132,"neutral"
"APG1tGYhMyQ4aQIGoyiOMMG0Lfg=",0,85,""
"FCfnEdQHqFeOunT32LpieOEeIOE=",0,226,"negative"
"KpzWGMQVDzRO9uYx+CnRAriz2XY=",0,109,"neutral"
"oIETIinRjdHCkfkMSc2TnSYrjSk=",0,142,"positive"
"E4omAWOTCwvz5N6y8vBVJK763jc=",0,63,""
"S/+1dFOAL9/Y0AGLzMnbNoP0QyE=",0,64,"negative"
"87xaAXqhGRgsCZuI3jU7zpV21vw=",0,195,"neutral"
"kAYDUD2QkC3Op3oyx9rHj80gukY=",0,32,"neutral"
"dTRfiwkQIaXJLamoGpveJLhuYPk=",0,94,""
"DCV0CijJCeSRd3imDvlSg2qB4Ys=",0,61,""
"eT3B+IvCqM/K9l2V1Oc+ch+s8kI=",0,29,"neutral"
"kxyfEjK2vWbD/HiLfn2FA6HFnRU=",0,59,""
"6Ihs32ZPsnDnwq3dfls5/b2rNbU=",0,66,"negative"
"kX0RBlpI69991Ygz7jN0hC9UhJw=",0,55,""
"03EltVv6rU5YxE89uqprLqK57Dw=",0,33,"neutral"
"Vnj5EeZnfGhJAXANgoB/d7vJe8c=",0,62,""
"QzoZtqUKGZnsS5qTlowfu2xanKA=",0,93,"positive"
"UBoEJKFCLFdIKCKFao+AkGY8d8A=",0,170,"negative"
"Nsm2BKUzN8djVLsqt8aEVyhfQMQ=",0,102,"negative"
"i/6k29zWEVoLrnmFsdxLokzduCE=",0,36,"negative"
"UlsiocLOTt7LdxyjWo2/SGBo5b0=",0,65,"neutral"
"6td+tPpV4Vef+QFRJvjkx+p8GTw=",0,67,""
"MYlCSyyaJFdLuuDb+4iHWVonQeI=",0,82,""
"i5+XREpBHYyLMw6SePjCQemMVIM=",0,57,""
"qFSOpe/gxuPLKN75SLaKlc0g5BI=",0,90,"positive"
"5Grkb9xpfY8mFSf5SMammRFWp7k=",0,55,""
"I4/NbbaAmEFb22Qsj43WXBSXTz0=",0,53,""
"UrJV2t+G3uplnjEz9zT2dHzM5yU=",0,35,"negative"
"FnFyp+OWW0Ov9qhZ2aoM0xCe+t0=",0,61,""
"17+zi3g00cQ7+msbpsMtwYsq1lo=",0,97,"negative"
"YoFPkS6hkIi+UaEK0rDXuyqbp08=",0,217,"positive"
"LrPjEjtjHmkabg4W4tIV+sa0/8g=",0,63,"positive"
"eAElsf8+wCdHoZ1c8axcHYy34ig=",0,121,"neutral"
"NnWnUK86sEzN6a+3F5hv3CAq7qU=",0,55,""
"kVpsVgxY8wwMQlP5Ovu6VxvlRGY=",0,62,""
"Thv/KiCAy1PodA7mfRGlB4xpGv0=",0,90,"negative"
"BNsWLtv5AjQnwDjBJhbOjbRn2nk=",0,56,""
"OHo7oM5XOaJWC8D3crBoPO9gkuE=",0,87,"positive"
"kdVOMrKzgE0HAw7jS/tZVy9gsW4=",0,33,"positive"
"MPOyXhwePbHSx90Vc1rkCYyqfRE=",0,68,"positive"
"3APOunxXYBSEYoI/3AjgQkUjbTQ=",0,32,"positive"
"WHO2vIiqN+/Gk88fklcbDQDhDeY=",0,35,"negative"
"ko8rNOgeskRhtKCFLDX2Kx+QBd8=",0,60,""
"AqT9bP58kmUtLDqUHkMQHXVOFtQ=",0,171,"neutral"
"BQy5Z/gjMaG+h1aIrqwT4JI9kgw=",0,29,""
"ZgnEv0NB+Ktaorav6O5keMAB0yM=",0,118,""
"rjzwoEHGXkDmghcLDYm1qgyZ2nI=",0,135,""
"QKNOQbRxNa+hlv3iRMjYESyYqZI=",0,101,"negative"
"pnfi8CsN9d3XPVSHvrUP3aRUQTA=",0,60,""
"jsktfw4jGZTkjtj27+VqB9Y66Kw=",0,55,""
"4CvbzN7aM7FZKRLNz96HPg2miaU=",0,103,"neutral"
"G/85w7/Y3HUb7m7TL/dkisMtzkk=",0,45,""
"jxRn9AlwFRdxUVnyqWATCDxnVK8=",0,194,""
"P3SPJz4JC7oLKM25fWRrI5PFS38=",0,60,""
"GdiPE7okaQGAhkpZSUlFIhEUQFA=",0,32,"neutral"
"vDvG0blA+qPK66H3njOXlFAKEc4=",0,83,"positive"
"QGdoXq2wDovKxo/U30Tw1PuwBFI=",0,32,"neutral"
"yP6MGLtoDhel2RjbkswUMNMrUpw=",0,69,""
"qWw3UibBaGmahZk/2CV78ssZnBY=",0,35,"negative"
"VV76Xap9N4hiJJUG2uHlx+J3ryo=",0,73,""
"G4lhS1MybErPJFB/MWRqDRQo4j4=",0,116,"negative"
"yVAZEvD/8mljdpJ/PwjT0zCMmnw=",0,69,"positive"
"sPaywWcQiOdSxfdgUGbGf+eWZoQ=",0,54,""
"KHTgrmgOs26v9WMz7+y4vj8lBhs=",0,287,"neutral"
"wNRsTtc5eBkbvnnavhCHcnQ4y7o=",0,84,"negative"
"Zc/rpBYEGeEGGyWhBeKx0nyzC9g=",0,26,"positive"
"iN1BBIUWMwSoT4bhEKZQ1K94J8g=",0,143,""
"m/FKWt7xmsT0H8G8cUlpi0aAjjg=",0,76,"negative"
"lhjHIBAH+6bT7CE3ABPKcQAVZAQ=",0,81,""
"eBYhpS+Z1L0C6eI+H+Q66sBtTfg=",0,37,"neutral"
"BWl7nsLeH53UuFzfgVmEi4x6us0=",0,61,"positive"
"dVJnBSeDLSrq8McwyEK/O8Mq3nY=",0,140,"negative"
"xtwOyh2rpsQy0UEiC+PDK8xsx7E=",0,74,"neutral"
"2CctYVCR2KwH1TH4AtY+xJ9tTAA=",0,161,"negative"
"dNhNW/vyHmqIIgWSwROtwvKnuMk=",0,56,""
"M/2I4OzaO0qUsFkrvAHZwvcushI=",0,115,"neutral"
"zzw1WvxYozVcB687o/4bM35fqn0=",0,33,"negative"
"AlUtSzYB/w6rsyDx3cXzPTz6GoU=",0,59,""
"nLaQg8O1Y4TKJLhXwN0yljR7OhQ=",0,110,"negative"
"1KHnozGEiEvXmk5Zf1VpYP+XuWY=",0,69,"positive"
"FD/Vo7OV3GAzsL6Ho+0Sni9L5zk=",0,102,"positive"
"iQYdf/4yUZnYZq+1pV2Trs047js=",0,52,""
"3FUFJKRQs8lzsuAA7N8OJD5m2kM=",0,204,"negative"
"PIYTCcOrfws5Oh7L2dKIjHjlxJQ=",0,209,"negative"
"6f9/ITpaWrDDkAhFpW3UNS04xGc=",0,55,""
"eFW84QDefAxtwqZCE60umBN1Dlg=",0,66,"neutral"
"oGkKG5xtcOV7JpPKRPf3ExqHoRs=",0,112,"positive"
"myWvW4Hf0KrH/+7aeFX+p/WgAeM=",0,109,""
"UYAj2Krbcdhh0yhxvDHntX9DpjI=",0,44,"negative"
"oVnmUFbRE++xpRDKhhDNaYyzNek=",0,76,""
"hbT58Cx354lJypB9wXgZfEQmVL0=",0,33,"positive"
"yUziJL95uyEYzggSFVGG5nlJBE0=",0,67,"positive"
"dO5e4Y3r+TqAKOxQnq8bY0Lr5Pc=",0,140,""
"7D6UdAyIS0AQUz3V3sw/oZZLb50=",0,77,""
"HKuMbcH2NqozZkT6xOqAkZdwSd4=",0,34,"positive"
"ethuyf5H04cbKu/oS0b9FaCNz+Y=",0,80,""
"b9xGLZ7/NbUkIO8wiHaZfiIaywE=",0,61,""
"E95wGffduzkALAHsKnXVeWCGLY0=",0,39,"negative"
"aW0u4grV3kihV96ZHTDUdj+qcVw=",0,56,""
"bJ1sSuRJPYc5vXIdyItdqOsvzeg=",0,97,""
"uBKnXEOiilzkOGbwpi9aY+XXMVo=",0,89,"negative"
"nsgKaOH0JvPUHB9QAHQQQoKhuGU=",0,127,"neutral"
"rj6htSxYS7q6mdgB9SfTu1cO1wA=",0,47,""
"Ch9lDR56In6StKD/D9xYbluleyE=",0,31,"neutral"
"r4nZX0NEnO4buJTX9lh108qP7ro=",0,68,""
"RhD5GDnRb2IpYznxVfdvitfsEFM=",0,75,""
"ORNH2z7/3x/+hbls7WW5WQyT5HE=",0,61,"negative"
"TMMlOHRggZZGVFoToRd8SUsGHkM=",0,59,""
"yUjxm+3sFeD1TdFX48o+A1FmiSQ=",0,30,""
"7Y2wipIGp5MrWgg/1Z0PkDRNVf0=",0,90,"neutral"
"JkAbC+WHyGLxmtYuDpQUERUruzM=",0,148,"negative"
"JJuEqqGMHgtZVpSMgWgBdtz7Tis=",0,152,"negative"
"BVLvL67ig95+fAqmryWCwTv7QdQ=",0,99,""
"LHezhfiscKPWxoYtE/OvP6n8pkk=",0,35,"positive"
"5YvD6C5K4irHWs8QCvi3YGPXjjg=",0,96,"negative"
"YTTB5lKiCybzmQJ6I65Ch71t4to=",0,84,""
"0ICu5oO89tk5bf9LVGwuxdX0ZUE=",0,87,"negative"
"SFJixs5Ob7BVKNfcYJmOJAHCrjo=",0,164,""
"WnqdA0oEcGLLkc/JkuVvYsuphvM=",0,60,""
"izOcwXf2ELb0/KhXWE07oy7REPI=",0,173,"neutral"
"Vx0KWwaTuEK2W/NT8Mbyi3wLDPk=",0,59,""
"S2XgRq/CpgT82iSSCdsnDAyJg20=",0,50,"negative"
"nGqYaaDwuWpDuqemhmqq3lR2q4g=",0,54,""
"wcmqQByPydbGokvhht2GWj3CgRM=",0,208,"neutral"
"nczUfDSzWYrPIqGo8FSITL3/Lg0=",0,92,"positive"
"B8FkqfCrPoo/Rb4DGom+LmspOfk=",0,46,"negative"
"S8oi3KDPMqYYSN8pwdPuY5lgQWU=",0,59,""
"vzbW0/mub7cxLxEtR9NHwdNJ3Xo=",0,133,"negative"
"bzQM4qeUn9JCkUTbhoD/hpU+Mks=",0,36,"neutral"
"pfeiwHGBWjzFwXN9be8gEpXBKdY=",0,54,""
"ChE4ZiS+Ifmsi4ZkAKlkvWfDgq4=",0,147,""
"uP82NCraxmpGdPXjYphkiku1KK4=",0,153,"negative"
"r42PBtKbX/GtlYUTT/EY4Ee5Cvg=",0,75,""
"nVCZmKlv33ZYv/Pjnh5KQxWX4qw=",0,36,"negative"
"fQzyucEtk1YWvuNjv4K6Y+dsBCo=",0,38,""
"rrIPrCTchEb1b7vWPjxLatM/wd8=",0,72,"positive"
"urT673lCc4gbnzD5Zk5qlahg/0Y=",0,50,""
"J83iiB0eRkN0j+nFFKC+10xaa8c=",0,58,"negative"
"6SDNNG0L8gbE3PmopxqKXk62MIk=",0,33,"neutral"
"hzDvkVUmCdFFh5QFVOTfCpZtOgg=",0,62,""
"OMHdkTOOA+iNtESwYsZDladzod8=",0,86,"neutral"
"fVz71ZK2gJgjJPRYtCtp//ljldo=",0,251,"positive"
"NGBTH2dRGvAQRb8Nj0NILgaQ9dg=",0,93,"positive"
"0kOrjZPM5txqyOrMx6EMM09E29Q=",0,72,"neutral"
"AD2u86gwX09g94ZGxz+5l0Y2HH8=",0,107,"neutral"
"1SNKxNo2dm/MuRP7HxXGl61lsyw=",0,57,""
"RygNxztp8cd5NDbQuITwZG+m2Kg=",0,60,"positive"
"+WRDocHVu7T3FVDq8QpPOyEVIYg=",0,60,""
"3UktV7BLsyAaDnmCseeSYfNg8QU=",0,177,"positive"
"rLYFCsIz0xioZ4RVcTHxYmQ3XNo=",0,69,""
"9epxq7Uow+2LwkwO/Fujv4pfzpk=",0,170,"neutral"
"OiOww0Pf4QWvM9XOmcjzS7ZHtzc=",0,52,""
"48jYLKxX0tUu8Ng3EHLvT97CXpo=",0,41,""
"Edd4vfEzGrA4TSICxHtE0eQtaw4=",0,159,"neutral"
"0KfX91l4wUaVQfruHgIJ7mU76gA=",0,87,"negative"
"t9zC6A+s/pCDwBuAV5FfKzg8tzQ=",0,59,"neutral"
"Z8Q9uAXjPgYe6E8PTGzfzYzuGe8=",0,58,""
"CWTGupGjRsRe0ab8jP2gYEtv324=",0,122,""
"CFaNlV0XXajiOGPN10Tv0BWEq0U=",0,5,""
"8PQJYlb/4QCQ9nfTZledW9KxlSY=",0,111,"positive"
"v8HgygXBzlbniR3Vj/TGNdRm9j0=",0,57,""
"Jl0OIvzKyovw4/tLVGrHQIgfcT8=",0,57,""
"Q0hnchYoxd2XxC9dIMCBwA1oEE4=",0,71,"positive"
"3dWOZh/OEPMjPPGv+4s1/tKFZPE=",0,88,""
"7kljqOAUa9QSoBzzydkyX15OGUE=",0,60,""
"jqW5Dft37t1ajWxupitqQnNQmvA=",0,56,""
"6/CHaOAuCz0Gc5iitP5WaAfqw3Y=",0,85,""
"TMpGDllwGLD0qnRXUtEDoUK4GiA=",0,87,"neutral"
"MPfeCg35pFn1N83BnS5sm8xlnPo=",0,108,"neutral"
"1uFE/gkXth11Pe4jRhq9VqlXagc=",0,58,""
"hYdZejr/WUASfg6LwFCFjH23Os0=",0,60,"neutral"
"TH0gHy+4Jnv/9HQXAX49I3jDCG4=",0,114,"neutral"
"IYjplUiRWQrv4KR3xMT5hFAgB8U=",0,32,"positive"
"IEYX+dQJOintc4YdafPJYJU4nuI=",0,72,"neutral"
"VGR9kCmatKdEP930GWSHniCIJc8=",0,73,""
"sFmUsaoBIP0WX8o6yqx7NCmK+k8=",0,52,"neutral"
"+5/CYQL8GNA9M9amym/wvXGk4eY=",0,89,""
"mZ64DJTt8KwkqJOdWN1dEAcVQhw=",0,46,""
"2zsnXcL1GKLyd5Jdn+GyP83TUo0=",0,32,"positive"
"pOFGBqQ+zjjgse4dOwTTEgrGQR4=",0,29,"neutral"
"Je5F2xs7GXkxxw2iRXDJ3Ovn4rw=",0,96,"positive"
"mGklJKAhm51l1B+32STDDebhcfk=",0,24,"negative"
"DuloInSgZ1amPXCOgOYOCZ9n39Q=",0,40,"negative"
"gnWmM7X3vjAo3aFFUVGGznbk31k=",0,58,""
"r9v6Xz3pSwpJehg6O2bxHns1Mfs=",0,57,""
"rHXwyBTfpM8lxSgd0OsLj+BTt3A=",0,35,"negative"
"YHxPIk2xRz/4VUJfEa1ggfi9VXk=",0,88,"neutral"
"Jsdh/KinKKW5Bbl2ZP0Vv8jBgZw=",0,31,""
"csdnhjt0RA7vozUP1LQcKGZ54O0=",0,63,"negative"
"9TgEV8sBXmFwrLgw8JrfpQBPFEo=",0,36,"negative"
"4qMz6PA7T+26abnWr4rnX37s3l8=",0,116,"negative"
"SLpwq+dH94espfRPg7jj0xEkwd4=",0,72,"neutral"
"WUl1lufCDFZaZrkf6Y/FdbZmXnM=",0,124,"negative"
"iZvnwcX2J2uNmgIOPTmawFeLTuk=",0,29,"neutral"
"kChO2B/FQi27lSZHHUuEapNtt28=",0,34,""
"uwHOwXZBIm0JDhWM0oRJe1G5eXM=",0,38,"neutral"
"6eW1hm0gqK7aHWWrtv5v2bd0yrU=",0,91,""
"7OCCihD0UQMubwsNGvEBHkVD7Og=",0,77,""
"/8/CiI80e2baOd3k9S2DlfRusBs=",0,63,""
"qoLHKuwdvkU/GMZyVzk5OfBZucY=",0,42,"neutral"
"oUcOasTMlEbW02TrXn4aB7t8pEM=",0,36,"negative"
"0dFgvHIoN49rLcZmoO0NRduWjLA=",0,91,""
"VIeTYxeVJxxpyvQPojebTdDOFSY=",0,125,""
"3te2B+nqWW/VcoIBeAsvq4C/g0s=",0,111,""
"lITPh/u1MWtAMb8+5lwQFT9YZ1s=",0,25,"positive"
"yJZkaRfIhQb8nh2YNPIpLIBhtvk=",0,83,"neutral"
"Lvtz719X44kjRIGLKWLzPeOnPZ8=",0,160,"negative"
"cv7gl36QYgrmJjjQ7evriV0MTv0=",0,34,"neutral"
"Ou46sRKSxBAN7GEpmBrx3VAPAtg=",0,41,""
"QmfcJK6PrSGveb9OD2stqANbGBA=",0,32,"neutral"
"461E9uFrxI46ZQuXJI/H2bkbBYo=",0,139,""
"FTOBQH4Ty+lROfJIOy/cPHTsJkk=",0,70,"negative"
"VuvwMRO/Y6lTUeR3crEGePyA49g=",0,68,"positive"
"9dLwowPVKbch7cLXU16rHFdA16Q=",0,36,"neutral"
"gJAda/Li5M1PE4I1yosAaJ3tkPo=",0,119,""
"xq0fnBtmUQA3nHHDMUyf5LVsQFQ=",0,297,""
"3eOOTh68wsQxq64P51nHsrMH2wg=",0,74,""
"0n8T45eN6XOBARnT2qO9gzILcOU=",0,49,"positive"
"lnOANdG/b9XEKSWf0VC5XphdVhw=",0,56,""
"+N9FGtCdw3FTtwYXsScEQDO3wRw=",0,280,"negative"
"yuO7uUwotFK3jhIYhPcmOt55BKU=",0,63,""
"dDhqD5Z43+WJhlsUYcHWk8aAw5M=",0,118,"negative"
"U4LS4p/iOBy3/wF6XzWy2epwkk4=",0,36,"neutral"
"2uORgBCXYNRQzSWTq7W/ZH/7qlA=",0,59,""
"GAyJz6G4M8dSkoQFGhYTLc7gxW0=",0,33,""
"knUKju2ogQmBoHfMITCbLOw0jrI=",0,126,"neutral"
"tPig0sqJaEg2quZJ3yxc7Yat07M=",0,108,"negative"
"FZkqDR4KKDij4FpFWq04WbIU02c=",0,58,""
"RpJlDnb+suJO5Wb2qJgPpugFK0g=",0,41,"negative"
"A6XUQi/UTNcgUWSNWdyW/06wk3s=",0,117,"negative"
"VTvoFhpMX3wWQ6D6Dq4l65L4VR0=",0,68,""
"q7Ke9EcE5+cqn+DllWrgFmb9W24=",0,35,"neutral"
"OuvYSK1s3j1pXbFtLs3B8QRVLC4=",0,70,""
"stcRrg8j9nRemL92Xv+HYuKobX4=",0,32,"neutral"
"IOSHQc8VOP+VqD+2TcG9yoUyWNI=",0,161,"neutral"
"yxD+hMVgZYNykuAR5owJDpM4Z7E=",0,184,"neutral"
"fdlnKrZnMUrn7e0hoiJABv70IYo=",0,55,"neutral"
"Y9KQ36Q69jsoe8LszojwBtWhn3s=",0,48,"negative"
"yIXhRnDgklz2Mk8ehfjZY61CfHk=",0,82,"neutral"
"M4o4pNG+bXKE1nG+/juMs0xF9EQ=",0,220,"neutral"
