userid,mobilePlatform,tenureDay,waiBondSubscore
k1JjYi5Ywse0mQRzwYsbObT74aA=,ios,4,5.0
w//fYOEQjgDTFu8Nu1eWGAeY+hU=,ios,4,3.5
6m7xr6QASdfRUwMAYpNdaYDTAB8=,ios,14,4.5
pyzhyF0XyXCNTTxjEzbbOV4MIlY=,ios,5,2.75
cMQaZ/Oov/vzbpWJR1a901JO+z8=,ios,4,3.0
djP5JhJPDC96bXrzCFHkDsctCH0=,android,5,3.25
0ZZJviXWfr0pjtqxjGGShGbsSEM=,ios,4,2.5
6H6uZetMs0Wkb43xjofTQ7JrF90=,ios,4,5.0
9t+o3//6K28yEPiCLiRffzGB2I0=,ios,5,4.0
bYRwdNCGv4IQeVyWZ5LTbfdEPMk=,android,5,3.75
G4lhS1MybErPJFB/MWRqDRQo4j4=,android,4,3.75
CHIMsVsL9HM02uHaVxDlLKdj9Mg=,ios,4,2.75
dbLwmHJtRGLdY6QzRoc5qN+Z9fc=,android,5,3.0
00s0dk/3puJS0rLjOpBnyjaM8b4=,android,5,3.0
oqdMnAA459DMLLv3OjePM0dc1Rg=,android,14,4.0
FI/xbEuaL9y84ZvL8dPLTX6dbc4=,ios,5,4.75
qsxM5w4uRIJiw2ux2HaG34z8spQ=,ios,5,4.75
K2Ytkdc6e/ntjvJGwMtVjP2b2M4=,ios,4,4.0
usXKGLLmWheyah6XPX/9ZVJVsOQ=,android,6,4.0
D6par7KDxrxL97e2c9bLDxOyMaY=,android,6,2.25
qx5KXRSQVEg733y0mpOWflaNZ+k=,ios,4,3.75
CILn5k5Fe+pKzzQK3At7PHitsNg=,ios,5,4.0
6QMIUH37Nx3r/11ss3/QHj1PzZY=,ios,5,4.0
Fzfo9tB4OFvlWlFr+MtJ2eSqq7Q=,android,4,4.25
TMZXDZmJqCjzzHyWJlrOYscVjeQ=,android,5,4.25
YBiyjIBIyCebDUP1CF0JQ+AKiXQ=,android,5,4.0
TH84E9MiEvU+nfUAFWSLUka1uog=,android,4,3.5
deFj/hVyIiNxfh5DQIjd3JdoNng=,ios,14,4.0
j2CUmzdpoePinjMtMCuR7Kg6cyE=,android,5,3.5
ODgf+IwCXvyg6+grSCCC9FYNC0c=,ios,4,4.5
244w5I2NTVozFX74ekkC4N2fEf0=,ios,4,4.0
SYe3BFJaiUq4Z31I91E3rvmbO4w=,android,5,3.25
hVvjNqOjQmDkN+2u9RbEXMCtfhw=,ios,6,4.25
q3QtxcFHNsaBAHQX//IrLUzNNoE=,android,14,4.75
unjZIR4sAhL+xdqIJDAyUVtEUiU=,ios,16,4.5
x96IEWnOfGxlvzwQZeBoycqjIWg=,ios,4,4.0
xsnbeC03+dvYimjnDWmJ02lqUvQ=,android,5,2.75
Nwfj27kRxr2we+vNrlnljU+s0nk=,ios,5,4.0
5XqQE4M+y0inuI8uZCVkvrhGpmg=,ios,4,3.5
rOTmBvnzRcFy18JyicUDDb9sTAQ=,ios,14,4.5
3cl7bpCgnYFyhp1Y2XqPwmYEqLo=,android,5,3.5
b5qw/9EKSUoPmsYXCm1HFERUxrk=,android,5,2.75
lmInTujkFcIvjdwz0zjynUT4qGA=,ios,16,4.0
44bWt83uD9tqbC2zCJIhAtn8stQ=,ios,16,2.25
606vfAidjzBQ+AkOH79+/Bnp930=,ios,5,4.0
tWcXLII+NRROr85sjaYK9tSRwJM=,ios,5,4.0
nwkIRgt9gU+NksElruGQZ6JpXlg=,ios,14,4.0
1vC64j6GlLulhLUPxhicqwkbo1Q=,ios,4,4.25
77Wyl9q/Qr98qKJaM57qUZ4KzRE=,ios,16,4.25
E2fEkzA9tzC4rsv4xGvRokXmaS0=,ios,6,3.75
24sxeHFh7PzRd6vLhsXlztMSef4=,ios,5,2.5
wADz9EkS81epQuIWCKIJPZIj4rc=,ios,4,4.0
eAnXrNXddmRVTWPoY6LaFc349WQ=,ios,4,4.25
25UMJHHpYA5bpTm73WFSIsaplYY=,ios,5,3.75
oREk26L2QGrwIVrSLBbbFslBWNc=,ios,4,3.75
UnAK9fvtQPIb8kSwR2MQRXLv6og=,android,15,4.75
5pjfw8ZyDLT9azm3d2cWqtnhEWk=,android,6,3.25
ur5bBl/r98PMMTVz5on4fygut78=,ios,5,3.0
8+43vXLjBPeYRtRkQnSOtTV6FTM=,ios,5,3.25
MLCxXur0l9LsuleaA7bwENJkW8c=,ios,5,3.5
omGxzrzlswwqG3Vvd7ZV88rwqsM=,ios,16,4.0
O+RR7F/8r7D2IXPEr5WeuXOgKyM=,ios,4,3.5
nu6tsJJ9XbdgfU34gOwVIkkn1xo=,ios,4,2.0
CVP+oG4qHLQsIUMQFIffkUvqrJA=,android,16,4.0
ztyeoqvuIIx6EGh+OiNsqDsr3Dc=,ios,14,4.25
r91RIVDd3zfdf5w7VBJiVryjsXo=,android,4,3.5
EGMV99aHJ7rTCYQWYH+h40Zvnmo=,ios,5,5.0
zL765CxfO8acJlTMgYVwL13TXFw=,ios,4,3.5
OG8bAxhggUfen9yoS1FPLK4Ec+U=,ios,4,2.5
p/+J+b2q/520bhxz9JFlNZGQfN8=,ios,5,4.5
uOFOCmAdsXbHIApIb243Qs/KtbM=,android,15,5.0
yUjxm+3sFeD1TdFX48o+A1FmiSQ=,android,5,2.75
uXOPwxJxBh0d5P9A1xA1/n7M/6Y=,ios,4,4.75
ETBBpEmBVQnWWo+SzArw/osvdhE=,ios,14,2.75
/1mR0uFuaG+KhQwYnPIOYvgwzJE=,android,4,5.0
K5IMhe8tMpBVvntezxzrlZ4Q8tQ=,android,4,4.75
I8TRmVVPnqPf/HoIcSWm8ppzRUs=,android,14,4.25
KzdS4t0c42UrdpR8DAzmiq6aUZw=,ios,4,3.25
GszveRGRoOa33qPK6OJuyxlkvUU=,ios,6,3.25
moVqxxehI0Z604YUZU9ftOkbXyI=,ios,4,3.25
TQOZ5m+GyhVMX3W+KR1BxrYBUyM=,ios,4,2.75
GdiPE7okaQGAhkpZSUlFIhEUQFA=,ios,6,5.0
EaX2Pi2bVLbZUb3DEj5Ujc+PZlA=,ios,4,3.5
UBIoqA8hQnLX4Joa4qFX6gNPVY4=,android,4,3.75
H3lHUIbD2hKhk/ljr2n5pPBKHCU=,ios,5,3.25
PllQ8xpVAh9U2fDJS+6WB9uhvdI=,ios,5,4.0
2By1+LgiJL+5mg1nWWkJeWkiT4k=,ios,5,4.5
5nBPht0JfLcIRMTuGeE7ZGTQqiY=,android,4,4.25
aLfL1vvI4ZOSIs+sW9XMPgky6iw=,ios,5,3.25
/0qmKP0nsGZ3oITGZwgGR9ehdS8=,ios,4,2.75
rTYvzNUfcb9wYHVq1BS0Vm1FYdo=,android,6,2.0
52M6nx8UMSmGW50VTPjkQl46xcM=,android,16,4.75
FW/sJ56KH/D/MAbEzwqu4eqymMI=,ios,5,3.5
xF6XI5Q/hCoFtrRSVuADGUMGAqE=,android,4,2.75
qjuA8UPCbz6Bz0yy//f6dv04DbU=,android,5,3.75
Nly8LrYJndLKRAgygbiztLmTju4=,ios,4,5.0
ERFgFSc2wYTOFW5I+GevkJRanek=,ios,4,3.0
vTjYzFk07TtuWGoAck4L3jrmn70=,ios,5,4.5
6G2G9w3eQ4G0wSrvx+V8nRgc8o0=,ios,5,4.25
J3WoVU1nFvz60zYV8xTOfztyhBc=,android,4,3.25
8sJGlOSJA2hOpVyBIRGKWg6O4cs=,ios,6,3.75
h5sZf4asfs2FzcYnOYOqBCDlXnY=,android,5,4.5
/2+AQbSwnWUZrBI1NA2T6PpJs9w=,android,5,4.75
AaaSNQs98HXqXex3erRja8+Qpe4=,ios,5,3.25
p0WbzgyBzRm0VNjiWUMlezFJ72I=,android,4,4.25
4eZz6ajD94UQNj0rAAtYa2hBekQ=,ios,5,3.0
69jTZAjdFUqjbTdhFUJCcWuZtGI=,ios,4,4.75
tYTTPy/+H6y1BGKEyLs0re/rXbo=,android,15,1.75
352ZUqgE7YjWVUQrhe49vCWEBX8=,android,6,5.0
vXC5uSNmSviEP4P6oGzu5QY6hCE=,ios,15,3.5
fI83eDWOrjXzmjBpzyb7sNiTugM=,ios,5,3.0
5NO3sKee9TDp7a0HHNWSzHCK4lM=,ios,15,3.75
GFS8YCOi+2urwvTg/wNO72lWPRU=,ios,4,5.0
Jp83HDTvCSyApp0NtijVTvmUcnM=,ios,4,3.75
RY40AtnsmrQNiZLZ2lYXLaSSkcU=,android,6,4.5
WUVPOgpQCurGymXVTx6wbYXLdC4=,ios,5,4.5
Of1vTF/0hrNbqSrlJEW5TNg85L8=,android,5,2.75
3CP4drnCl+BiLfWuAUHxD8EBCB8=,ios,15,4.25
mQnKU71j/SLUSQoCntkO9BdI/LQ=,ios,5,4.75
GAyJz6G4M8dSkoQFGhYTLc7gxW0=,android,5,4.0
i29yOuUnqJQDnriTgCs2xQQupPw=,ios,4,4.75
nuiwU6iD87VVGW4h8TrqiMpnFPo=,ios,4,4.25
tRTEHNKggyKxrkJGauq5+Slh88U=,android,6,4.75
42W4VCkSuKdYXognCrCA5S6/JRs=,android,15,3.75
XciohC+tRqeYXp8c44qos+9qAMo=,ios,5,4.25
WuuEkFLe25RcMxRPUxc+iGodqMg=,android,5,3.75
gOobhsA6u2w4qCQXs+EGXb606k8=,android,5,3.0
+ag8SPyi59y5OGRPWsp5fQM0EM0=,android,15,4.5
QKNOQbRxNa+hlv3iRMjYESyYqZI=,ios,14,4.75
YYoE2EZsFYJIbIyj5QfSNamzNaE=,ios,5,4.0
p2VZJyPJjubC36Cd4nb6QpPJAVo=,ios,15,4.75
6S1JGokU0tm1BRJzJF2TsJrrQ+4=,android,5,2.25
8pzUwv1kD8CnNjByLZH3c/gO2hw=,ios,15,4.25
/cPYq1tHZgf9TU94WqYh0wKTrRw=,android,5,4.5
dPNCz+C8LwMILhQO1uodRZWurYU=,android,4,3.75
Rw08NUBAFIz/OSt7OFeXbBXu+Os=,android,6,4.0
dR1aeAHOE3m2Ge2EVXhMVJWNzM4=,ios,4,4.5
fT92PqyZN4XRQLoC0uOU0Ge0YMY=,android,16,3.0
i9DmYFLzgNJ4+xpuqNOX3YFj78k=,android,14,4.5
QkDWknfQ/LFWe7oVLQoafXGaPnc=,ios,14,5.0
1LyXcpSQeWL+RLFO/0jL3Q8aqBY=,android,14,3.5
ZTK2KbR7aNmcaYL8O7PWGv7H+dc=,ios,5,4.75
LlsCMAcNIaz/hzhFMwWzwLsmdaU=,android,4,3.75
KamhowewvbT/Y9gGJyh4UDJVRyo=,android,5,4.5
Ztohr4nE2D93guw8iNpE+Swpdlc=,android,15,5.0
R6j39wTHDai/qwNTGknWa+UxQik=,ios,6,3.5
zbsCsfBfqoTbk5GkEeF+5twLPY8=,ios,4,3.75
tMQBrWvgj1HlxNppGVQI1Wd6ec4=,android,4,4.75
4nEniu7cA3nkETPy9UuhhImWST8=,ios,5,2.25
bvmHVY10/ZRofVqUbgr7eqtq/oU=,android,4,3.0
Csq44SOhVl/h4Lx46wqwe3fzd9Y=,android,5,4.0
DerZikcWbAJw8aY6PX2tOVoT9Ms=,android,5,3.25
XP9PUQXJKVbQ+2X2sB8ODEhD1v0=,ios,5,2.5
m/tUq1oosaOLunpmWbrKJm42rqA=,ios,15,3.75
67LpZe5VvdXOolkYONhSL2musA4=,ios,5,4.0
fbprGJy7TIldc0gVm9bn5zp4xeg=,android,4,3.25
rK063ppOhC4kdkQ27fURgHXIC8s=,ios,15,4.5
+lv3ZbbmC+H8H9N2ts+qt/ejyDI=,ios,14,4.5
QYYQ2jVhhNwuVfOlNzBuALg5miY=,ios,14,2.25
6jYX3udKbf4YO3hvR3r2oVnJwBc=,android,15,5.0
PIYQtIgNJ4UHPSAVxuvRnKWY0WA=,ios,5,2.25
3p5pnPtvAg2fPrTRHEPxaJZMvDA=,ios,4,3.75
qQ+oDr3RqenKPUbMLYF52g1UVgE=,android,14,4.25
abaLnKXjmOQZ3ovLBjSpEVsKqPI=,android,5,3.25
gUSD4FsDXu9++HUAEB9SIkf2a98=,ios,6,4.75
UST+W7vF6pf2VnGrzNUHQ6R2A0o=,ios,5,3.25
pBCnL7NBWBi+NVBPmlD53u15eOM=,ios,4,4.25
WFLvIC9AMgOhF0eOjbM7pZbCNsQ=,ios,15,4.25
qSuHDE5xSyaUsC3XcCj6srFAs6U=,ios,4,4.0
SClVcpiRoboRngJbgOWkLlRmGjI=,android,4,4.75
OBHMP+jOphEc5ZvTDytjXKak/90=,android,4,4.0
4RIYnUhhpBjkrnel8qw6bst1PR4=,ios,5,3.0
3Q7I1lfMg0f8iToprUNwceqz7ko=,ios,5,4.0
dO5e4Y3r+TqAKOxQnq8bY0Lr5Pc=,android,4,2.75
4v/nH2XhpuJh3LJ8DB0W138cOUQ=,android,4,4.25
0e9tTu/hls9psbu+aC6cenD5Yik=,ios,5,4.25
79P94Wv5qPrjwT6TFre5yxfFIeU=,android,6,3.5
L1jOTRqiJNnXI8ZZGq7pocU2phE=,ios,5,4.0
NZBanjTmBLadDAFHgm3EvYl3fUU=,ios,4,4.75
iZ/eqj4PHS89Zw3Ur1mNsAXrlkY=,android,5,3.75
EZTgw+3dbeuEZcPCzBIBtx3nWaQ=,android,4,3.25
nzCry1Ex1iaPywAs0fN/DCPJeFQ=,ios,15,3.25
hoDc0/BDeT7hnvlIJZTZ7KRwASE=,android,4,3.5
KKE+P7oKRICe5eXVVyXkgiPTPfw=,ios,4,4.0
ZYB3ozVcCDfCTLx51Bup592u8ts=,ios,15,4.25
kX0RBlpI69991Ygz7jN0hC9UhJw=,ios,4,3.5
V8xKYMOt94zivnu/GNji6JBZM8k=,ios,6,4.25
DSf/1gNiZs2j9oRsVKYQ9dZg38A=,ios,5,2.75
hbT58Cx354lJypB9wXgZfEQmVL0=,ios,16,5.0
deFfzqIobj65bGjXBVUknbWkWTQ=,ios,6,4.25
j8JEAfmllUSgk3HL59eP/ymfkOk=,ios,4,4.0
do67HOjRtL1PC1SqWoxPs9UFem8=,ios,6,5.0
Gbh3eO3h6V3irx/VOU8MqxCJaKE=,ios,5,3.25
YBsI3D3WGRtzTD3nHgXfIBGPh24=,ios,4,3.75
8FkbBgD02Z7l7TwCTSwzOmFfJQk=,android,4,4.0
7lPrB2T274lTBI/SJ9KY0qurG2U=,ios,14,3.5
22u5uKoUT6tltDgpL89oeJYfc3w=,ios,5,3.0
muD/iXUABVLSZiuY0uZQEKsnsUE=,android,5,3.75
Yd7ctVb0CzINc6zSnmqsWoscxeE=,ios,15,4.75
GBMYZdtDiIy4B0hiAeEgiX4rCyw=,ios,4,5.0
WCYXGzZ7W+V68iackgTt9ThVFHQ=,android,4,4.75
ai9hMDVSL4KsJW99GLmV8AKH6q8=,android,15,3.5
6fuZjmWdAq+/cyLva6I915Rbctc=,ios,5,3.5
o7HFLny5M0hz1e7G3/yr2Dm3HYY=,android,4,4.0
mCrWrJ1enKc3Eu5AUAfvqdZSzi4=,ios,15,3.5
WJxSAa43KZUOWrkubzJKeNry6DI=,ios,4,5.0
f/BRNVBCjcwGtjNIpbMhOkXRV0M=,android,14,3.5
+SNBVG+1B+DdxeFoEm+rvXpLVmA=,ios,5,2.75
43ncv0b+3EAWYe5BZkrIWCKxQy0=,ios,5,3.5
tDMRIU+eeQgM2OP4SMNY8G46SsE=,android,15,3.5
BH72L4q9yZcr3IUpF5O2mHL82WQ=,ios,14,5.0
fYjxfXadHzGr6uneIrNu48ooPp4=,ios,4,4.5
PH1aS1dJCTmQJdxZnBccZ2z9K/Y=,android,6,3.25
4XXArFhajPRMycOOon6TlLNhP2I=,android,5,3.25
YjbHzeHDyrfMw1Ul/OCWNaiDLsg=,android,5,4.0
7kljqOAUa9QSoBzzydkyX15OGUE=,ios,4,1.75
8Yw/xMOU5+fZpgWosp9tjK09g9k=,android,5,4.5
R8Nii2XPCSZiFX+B1r1KIuRp3fo=,ios,4,3.75
pJmzk5Ff2Sk4hUPCVDaYvqOaF74=,ios,4,3.75
YywIQ/Wy5mqckV7SO2EZs7i6Od4=,ios,5,3.75
o1+GNpIwDaA9Nu8g70sA+hKpjYM=,android,5,4.0
Vx0KWwaTuEK2W/NT8Mbyi3wLDPk=,ios,4,3.75
GU+fWvEbA5ki+A04PiNccy38zg4=,android,4,4.0
5PHT0fcwNexrnmqVV5u6lKFQAfM=,android,4,3.75
gdgXJ0MAK9yp7f5eMclR8TdN+GQ=,ios,5,4.75
ua9XS62UX8DV7z2TfzcVIJ0RbiY=,ios,4,3.25
oZogJ3HLCdsh3o2/9P3i6sR5WaA=,android,15,4.5
w3fE6/wahUENBAY/lhShlUAYH2w=,ios,5,3.25
oJNNoykyrVd/EhP0tqGTcTAPv90=,android,5,3.5
Zvyssmm8b8ovC9RRKJjgk8KTedw=,ios,5,4.5
NAnzdlpd92zmJYesTbXNAZcIKMU=,android,5,4.0
B+TZerHuJyqWXNLAUgCSAA8yGYE=,ios,4,5.0
vi3Wkln0UPrf7vZRodcVshJvVtc=,ios,4,4.75
rRDbtIZcpr7MIzXkbfl9WiykSJ8=,ios,4,3.0
w1cN+pDQB6UT0ySsTENdgxPx/7I=,ios,6,3.25
kJ5v7+ORaiz/sjGlw/WZ7MuX8Xk=,ios,15,4.25
0YsCQCz/F9LVKT4hVCMM57JaYlg=,ios,14,3.75
ChE4ZiS+Ifmsi4ZkAKlkvWfDgq4=,android,5,3.75
MG1Gc38TUM/CzkxMjqKksUl2iCc=,ios,4,2.25
/SzLTlHVa42LYOkJiQ4CpkiizKg=,android,4,3.75
tJ2KuIKw0ZapHMUh69maJO+zYK0=,ios,4,2.25
WN8N7OhQCKgwwHBAHJ21iJ4CKzQ=,android,6,4.25
9epxq7Uow+2LwkwO/Fujv4pfzpk=,ios,4,4.25
JJuEqqGMHgtZVpSMgWgBdtz7Tis=,ios,5,3.75
75pYKjuMSr26L+I/euR7VznLmMU=,ios,14,2.75
sv2XxlHYQ37o4Uo/UDs61byt07o=,ios,4,4.75
0fHMZcS1f5xmkL1dtOGIejsSxGg=,ios,16,3.5
HQWmOyA7XGTGJaJYPVMM+60t+6g=,ios,4,2.75
T7+woTO+LU+Iq2ttCcRdwssZ4jY=,android,14,5.0
WUl1lufCDFZaZrkf6Y/FdbZmXnM=,ios,14,3.75
JM3fV1nBKwLHxhduyB8Are4RTAQ=,android,4,4.75
vmGx9oef/T6S7aU7GrUo197dg1I=,ios,5,4.0
XIEtjbeDOJXptFNxwvf7xOwbM+Y=,android,5,3.0
t1aq2/oV1To7GJT4B5C55Xb6XGc=,android,4,2.5
1eF0F2YFaEEEzv0umh8Eq+7p7qw=,ios,5,5.0
prE2KVNAVVyPM8d13s+96Pbhi+c=,ios,6,2.0
cbNpKPnezHdV2YA0fOhHt+cnDmI=,android,5,2.75
07241I8U3D1PUWSwL9sYxNFJTK8=,ios,15,4.5
PEUbzFZ/mvfhqzP7VT32vmYmGVU=,android,5,4.75
Rj6Eu7YONYfYpGgs3oIxgxlrmPs=,ios,4,4.5
I95Xs7f7K+TvMfisR21toIH74w0=,ios,14,3.75
dPKT1RXRx+/bz3QeeWQq2ykp5sQ=,android,5,4.25
zLdHKHHLIqF7DqcMZzxtzhXWhjE=,ios,4,4.25
GVQGrb7MZkvrVh0HBJlVTssavcs=,ios,5,4.0
xPbSTko8M2tZBXt3fPnsCpBrQcQ=,android,5,3.75
UQ22CQSrCDDlwkHP72gfyOdnbDE=,ios,15,4.5
q1pw+EKKYoICnbzr9rmOHRoLo3U=,android,15,4.0
Z3VsvevLpOsqWVV0AXzygLD80QU=,ios,4,3.25
TuBwbDUoLBkByLGfC04uQRgOWKM=,android,4,4.75
viQlDlfzn/9XQLuQui4ljbqX69A=,ios,4,2.25
Ei7cZV8ttbQxD5+XkcKZzj4y2Jk=,ios,4,3.75
IwGQ4rUOSk6lM3sCKeUu4cZZIa8=,android,6,5.0
3TfDgPQhx5C3R1LNpfg9r2WBgR8=,android,5,4.5
qVyzInBHD+KDwYneOtRGUIjT17o=,ios,14,3.25
+5GZAqP5hHhXvZj6bqs0OHHR4k0=,ios,4,3.5
VMdZ0hmq0pN9Gs4ePZqa1yxOdUI=,android,5,3.0
gAQIoa8OPwoCKWNJSj7AT80YKZE=,ios,5,4.75
8khGzoZrjlv6ddFw4uoujjmbbRQ=,ios,5,5.0
Q3VDYd++pJc+Yv2M+R4ZR2rapBI=,ios,4,3.75
wO041KH4s14QSKrP71tYCkBz+kE=,android,5,5.0
mEC+esBHHErbicWhaGnOt0SgWIc=,ios,4,4.0
xLxjDfviX8K99C3k1knxBQwa6kM=,ios,5,3.25
Jz+Nn92232d7SKUpgaE7dhEsKss=,android,4,4.0
u4732nGwgwMIHHImW6AE01HfNFU=,ios,5,2.5
ZgnEv0NB+Ktaorav6O5keMAB0yM=,ios,5,3.25
Uo3IK1cmrhdd72Bob0/RsnKYEuk=,ios,4,4.25
JfYaEOEXSKAmYNKmSoAsWUABp+k=,ios,4,3.25
JRLUEcBaMkuSi0BGbLBJlCixqdU=,android,5,3.75
yQudXRZ49AOwYmDLRZACADzU6dg=,ios,5,4.0
GImyfMNZjplHK3tAFlf7Bs3Fss0=,ios,4,2.75
ObkhRQ9YoDB4jTo1DUt4LuFygSo=,ios,15,5.0
UvhnEuxPSuY2J5k6UFUHCPuwyTo=,android,15,5.0
V9/4Ojan0QqH+IrpamG3yMDABQQ=,ios,5,4.5
seJ9qcVbEALEAJ2PjMWrfCpn4XE=,ios,4,4.25
2kyU4N9JT2u26ocO/6Rcf4JtPwA=,android,5,4.25
fXc57X0tBumCGavTkT+79HvA8bs=,ios,15,4.25
ru4YQkT6XJnbZGxJoO83KB9jF5Q=,android,4,4.5
kqCpj+/ir7YqZR8EXyklQc8B8x0=,android,4,3.25
r9v6Xz3pSwpJehg6O2bxHns1Mfs=,ios,6,5.0
1HRRzO+xKEd52kXpZ9YJBnUJWrA=,ios,5,4.75
Tjcfj5+ct8bBtz5zf6GDsJAOYl0=,ios,4,5.0
/Nt58v10JoTSwQEMC8gh13aR2xA=,ios,5,4.25
0CnTsyjpcU3ryUDLxscYHxOd/3s=,ios,4,4.5
mq0QRXGqcQQWcS2HcTtMU8GTt/U=,android,5,4.0
DRVv0fE8wVVGqUQkkxp+bYkljrY=,android,14,3.0
FM8EK/v68vuYCeSS4GruLvxyqyE=,ios,6,4.75
kLfbclbVtLIB/uhC7P9Y3I7u3ac=,android,4,3.0
Q1iwr8HuS+lp0+dClj/0F5W00q8=,android,4,3.0
cikMcE7ScbIrsqAc2pppjQ5yKjs=,ios,5,3.0
cyVCW43VMVFiPCVHFrxF5HZ1liQ=,android,6,3.5
aWABfunlSg8SQ761gaxidz511Dk=,ios,6,2.5
4qMz6PA7T+26abnWr4rnX37s3l8=,android,4,3.25
/JpcPCh05fGNovZF5yrhG9vtNy4=,android,4,3.5
T/muCja+nP6uu9ZnkWKBpiOg15U=,ios,4,3.75
v/V9OlWYS96YQKD27GB0ClmOJQg=,android,6,4.0
UlsiocLOTt7LdxyjWo2/SGBo5b0=,ios,5,3.0
zLdHKHHLIqF7DqcMZzxtzhXWhjE=,ios,14,4.5
lJ1WH2jxPno+9+0YMmYMvY4M+TQ=,android,5,2.75
G4d6o5u55O+v40swSIT6Hz7fXfg=,ios,5,3.25
sXowTwrl8GOM8NXm0H0VCi/rHLg=,ios,4,4.25
r5fO8D+Uoy9CcW4UQXKgjngUEXw=,android,14,2.25
qWvqhqAjkqwLwtRB8WvtLWkN8uQ=,ios,5,4.75
8m/W9MWBRRKbGHxxNLhdFHHNlnM=,ios,4,2.25
Y/LrWgD+vTkCXYkqafJqrmc5e7A=,android,4,4.25
jWZ/1+UyhWDnZ0DrznbM8PnYrOM=,ios,4,3.75
ow8tjj6EBbznYW0/BD5cQbrLUHM=,ios,15,3.75
4FAzkg7YBp5kdbe6LD4CQlIAUow=,ios,6,3.75
0vHrtQHTQKGW1WCkzsxTdMPGdz8=,android,5,3.5
Z8Q9uAXjPgYe6E8PTGzfzYzuGe8=,android,4,1.75
qSkBzDfCmx+90ggOpDFjW/88onQ=,ios,6,2.5
WdGdiL2wkWzMGneuuIKGdOfcNhU=,ios,5,4.0
UfYctZXPd8+c0ta2+yCYH1qY4iA=,ios,14,4.0
p4FHjn8o1ylJhVGBN6qUJB7awUQ=,android,4,3.25
Q5PATAce1FNLDFLUtQXq4CxZixg=,ios,5,2.5
4YqqG9KtTwTeLtUrwbglWcG+blI=,android,15,2.75
tnpa7SdvNFznpcEieBI/9K7RiN0=,android,6,4.25
p6oW3VI/PfpQQBV/moHrsuD01LU=,ios,6,4.5
g45Yx+5T6HYud4fbGf2ooI3iVKk=,ios,5,3.0
hWW+Z2ys++Gw7wH3uXBHmHMUk0A=,ios,15,3.75
zeVlBogJCAUytopJeQlNFpeWDXM=,android,5,4.25
flh7DF2mlyZ9ScPTMiJymutB2nQ=,android,5,5.0
3WFSbCrRPuDYb2eD7WUW3RUKAcY=,android,5,5.0
GfNvO+Vliwup/TxTDgrd1+cFp0s=,ios,4,3.5
